age,income,score,gender,department
60,117685.58,30.65,Other,Legal
60,121994.47,37.3,Female,Operations
57,61020.93,37.89,Female,Legal
54,100939.06,14.76,Other,Legal
71,81970.18,5.42,Other,Legal
35,125251.26,20.74,Other,Marketing
91,105678.15,4.5,Female,Legal
52,52379.7,37.36,Male,Operations
79,271355.41,7.34,Male,Legal
40,225152.44,10.11,Other,Legal
78,103258.83,16.27,Other,Legal
78,166345.28,15.33,Other,Legal
73,175047.91,31.79,Other,Legal
45,221465.15,18.25,Male,Legal
70,100883.7,6.83,Female,Operations
41,215526.41,10.69,Female,Legal
60,117125.68,20.36,Other,Operations
86,69848.26,5.9,Male,Legal
81,193448.19,24.47,Other,Operations
65,227445.51,22.63,Female,Operations
46,305274.54,28.59,Other,Legal
78,78016.48,37.51,Other,Legal
65,191935.18,36.49,Other,Operations
19,125411.93,37.84,Other,Marketing
81,197001.52,9.79,Other,Legal
65,61770.63,5.26,Male,Legal
89,74233.81,12.09,Other,Marketing
43,103447.51,35.8,Other,Legal
1,154737.84,38.88,Male,Operations
71,111535.12,34.37,Male,Legal
71,189543.26,4.4,Other,Legal
31,211613.68,37.9,Other,Operations
45,185974.65,16.93,Other,Operations
120,247127.26,0.37,Other,Legal
59,174949.6,17.7,Male,Legal
80,76986.2,1.84,Male,Operations
52,231802.59,21.76,Other,Operations
23,113690.63,13.54,Male,Legal
62,204625.11,18.94,Other,Operations
60,244424.05,24.53,Other,Operations
57,177401.28,34.75,Female,Operations
63,60230.47,26.48,Other,Operations
70,94907.27,17.36,Male,Legal
62,229364.67,32.78,Other,Operations
40,139852.64,36.22,Male,Operations
75,154774.41,4.79,Other,Legal
26,195529.46,21.28,Female,Legal
24,191779.37,11.38,Other,Legal
80,166727.99,1.88,Other,Operations
75,137479.9,26.74,Male,Legal
64,131239.89,34.51,Other,Operations
37,201473.93,6.52,Female,Marketing
51,183214.17,32.5,Other,Operations
60,134562.0,34.14,Male,Marketing
33,214926.74,36.57,Other,Marketing
50,142257.95,10.61,Male,Legal
78,98900.27,36.16,Other,Operations
94,104461.76,12.83,Female,Legal
57,91275.55,22.09,Other,Marketing
80,133655.4,2.02,Female,Legal
27,224023.46,1.76,Other,Marketing
78,101694.29,28.81,Other,Operations
49,161308.55,17.78,Male,Operations
71,110598.64,10.25,Other,Legal
60,134381.46,7.62,Male,Legal
91,59397.53,26.8,Female,Operations
48,136767.71,0.02,Other,Legal
78,138377.68,32.24,Other,Marketing
59,182417.28,3.17,Other,Legal
62,163396.85,7.66,Female,Operations
61,78096.47,15.45,Female,Legal
48,215051.89,19.39,Male,Operations
65,162618.18,14.2,Other,Operations
64,161903.61,12.83,Other,Legal
70,149449.06,38.56,Other,Legal
67,118934.55,25.66,Female,Legal
81,163068.14,0.94,Female,Operations
83,178535.31,17.21,Female,Operations
44,45186.26,35.0,Male,Operations
82,117674.35,12.06,Female,Operations
41,134703.18,3.78,Other,Legal
77,165370.24,30.34,Other,Legal
77,221598.66,24.24,Other,Legal
27,103695.55,22.81,Other,Legal
67,120122.29,2.14,Male,Marketing
56,119247.95,5.62,Other,Marketing
50,101908.34,24.9,Male,Legal
92,129168.81,8.31,Other,Operations
52,196248.13,20.16,Other,Marketing
49,86769.87,21.8,Female,Legal
67,175668.86,11.34,Other,Legal
79,47885.87,37.94,Male,Legal
62,116319.72,33.7,Other,Operations
88,130230.64,28.89,Other,Marketing
76,250491.58,3.12,Female,Operations
21,133511.86,4.25,Other,Legal
54,17925.39,19.71,Other,Legal
54,30066.67,6.43,Other,Operations
75,152041.78,39.13,Male,Marketing
13,186826.25,6.34,Other,Operations
116,172527.35,19.5,Male,Operations
76,160054.21,14.56,Female,Legal
68,219735.58,25.58,Female,Marketing
89,117624.53,5.16,Male,Operations
112,203694.63,17.21,Male,Legal
82,52079.11,10.99,Other,Operations
84,95703.13,35.51,Female,Legal
68,41577.52,1.62,Male,Legal
62,133509.28,36.55,Male,Legal
55,147224.33,33.32,Other,Legal
48,156846.09,11.9,Other,Legal
51,153713.0,31.57,Female,Legal
38,94346.8,1.25,Male,Operations
63,138585.55,38.67,Female,Legal
31,60153.2,21.06,Male,Legal
69,231793.74,12.13,Male,Legal
64,131782.44,14.5,Other,Operations
68,120666.83,2.66,Female,Legal
55,245336.42,39.57,Other,Legal
127,75465.21,1.57,Female,Marketing
92,82464.77,26.2,Other,Operations
40,84226.78,17.71,Other,Marketing
70,145927.72,37.96,Other,Legal
53,175897.9,9.84,Female,Legal
45,194380.53,21.28,Female,Operations
38,304319.72,19.29,Other,Legal
74,15034.05,28.11,Other,Legal
51,186524.14,2.72,Other,Legal
84,116572.17,7.75,Other,Marketing
85,114815.09,8.58,Other,Legal
92,112813.67,29.53,Female,Marketing
